  9809     SPring-8 14b2 
 Cu-K_Cu-foil_S  14.06.25 17:41 - 14.06.25 17:45
 Cu-foil                                                                         
 Ring :   8.0 GeV    99.5 mA -   99.5 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 26.09900 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4577
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       26.00000  21.10000    -0.001070       0.05      4577
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0   134.300   117.200
  24.88292  24.88141     0.050      2387      2309
  24.88185  24.88047     0.050      2387      2289
  24.88078  24.87945     0.050      2391      2255
  24.87971  24.87828     0.050      2392      2209
  24.87864  24.87709     0.050      2390      2151
  24.87757  24.87590     0.050      2390      2092
  24.87650  24.87475     0.050      2394      2034
  24.87543  24.87367     0.050      2390      1974
  24.87436  24.87267     0.050      2393      1924
  24.87329  24.87174     0.050      2395      1887
  24.87222  24.87081     0.050      2396      1866
  24.87115  24.86982     0.050      2397      1859
  24.87008  24.86869     0.050      2402      1868
  24.86901  24.86749     0.050      2401      1890
  24.86794  24.86630     0.050      2398      1921
  24.86687  24.86513     0.050      2400      1962
  24.86580  24.86403     0.050      2405      2011
  24.86473  24.86299     0.050      2400      2056
  24.86366  24.86204     0.050      2403      2101
  24.86259  24.86112     0.050      2408      2147
  24.86152  24.86014     0.050      2404      2184
  24.86045  24.85906     0.050      2407      2215
  24.85938  24.85787     0.050      2414      2253
  24.85831  24.85668     0.050      2411      2279
  24.85724  24.85551     0.050      2409      2305
  24.85617  24.85439     0.050      2413      2336
  24.85510  24.85334     0.050      2418      2372
  24.85403  24.85236     0.050      2413      2394
  24.85296  24.85145     0.050      2415      2428
  24.85189  24.85050     0.050      2420      2460
  24.85082  24.84948     0.050      2419      2485
  24.84975  24.84832     0.050      2412      2499
  24.84868  24.84713     0.050      2424      2525
  24.84761  24.84594     0.050      2422      2532
  24.84654  24.84479     0.050      2416      2526
  24.84547  24.84371     0.050      2420      2536
  24.84440  24.84270     0.050      2426      2534
  24.84333  24.84177     0.050      2419      2524
  24.84226  24.84084     0.050      2419      2515
  24.84119  24.83985     0.050      2426      2517
  24.84012  24.83873     0.050      2425      2504
  24.83905  24.83753     0.050      2425      2494
  24.83798  24.83633     0.050      2427      2483
  24.83691  24.83516     0.050      2431      2474
  24.83584  24.83406     0.050      2427      2456
  24.83477  24.83302     0.050      2431      2445
  24.83370  24.83207     0.050      2439      2432
  24.83263  24.83115     0.050      2434      2406
  24.83156  24.83019     0.050      2430      2382
  24.83049  24.82912     0.050      2440      2367
  24.82942  24.82793     0.050      2438      2342
  24.82835  24.82675     0.050      2429      2307
  24.82728  24.82557     0.050      2439      2291
  24.82621  24.82445     0.050      2440      2267
  24.82514  24.82339     0.050      2437      2234
  24.82407  24.82241     0.050      2442      2217
  24.82300  24.82149     0.050      2444      2198
  24.82193  24.82055     0.050      2437      2166
  24.82086  24.81954     0.050      2438      2147
  24.81979  24.81838     0.050      2446      2132
  24.81872  24.81718     0.050      2447      2111
  24.81765  24.81599     0.050      2443      2085
  24.81658  24.81483     0.050      2451      2072
  24.81551  24.81375     0.050      2449      2053
  24.81444  24.81274     0.050      2446      2031
  24.81337  24.81181     0.050      2447      2014
  24.81230  24.81088     0.050      2456      2000
  24.81123  24.80989     0.050      2451      1980
  24.81016  24.80878     0.050      2449      1965
  24.80909  24.80758     0.050      2455      1953
  24.80802  24.80638     0.050      2456      1944
  24.80695  24.80520     0.050      2454      1935
  24.80588  24.80410     0.050      2456      1931
  24.80481  24.80306     0.050      2461      1934
  24.80374  24.80211     0.050      2454      1932
  24.80267  24.80118     0.050      2457      1940
  24.80160  24.80022     0.050      2464      1955
  24.80053  24.79916     0.050      2462      1966
  24.79946  24.79798     0.050      2456      1977
  24.79839  24.79679     0.050      2463      2002
  24.79732  24.79561     0.050      2464      2024
  24.79625  24.79448     0.050      2462      2041
  24.79518  24.79342     0.050      2464      2066
  24.79411  24.79244     0.050      2468      2094
  24.79304  24.79152     0.050      2467      2115
  24.79197  24.79058     0.050      2467      2141
  24.79090  24.78956     0.050      2472      2170
  24.78983  24.78840     0.050      2471      2195
  24.78876  24.78720     0.050      2472      2220
  24.78769  24.78601     0.050      2475      2246
  24.78662  24.78485     0.050      2473      2274
  24.78555  24.78377     0.050      2471      2289
  24.78448  24.78275     0.050      2476      2317
  24.78341  24.78182     0.050      2479      2335
  24.78234  24.78089     0.050      2473      2347
  24.78127  24.77990     0.050      2476      2363
  24.78020  24.77878     0.050      2479      2379
  24.77913  24.77758     0.050      2479      2388
  24.77806  24.77638     0.050      2482      2400
  24.77699  24.77520     0.050      2483      2410
  24.77592  24.77410     0.050      2485      2420
  24.77485  24.77306     0.050      2481      2420
  24.77378  24.77211     0.050      2485      2427
  24.77271  24.77119     0.050      2489      2431
  24.77164  24.77023     0.050      2488      2433
  24.77057  24.76917     0.050      2487      2429
  24.76950  24.76799     0.050      2489      2431
  24.76843  24.76680     0.050      2493      2430
  24.76736  24.76561     0.050      2488      2420
  24.76629  24.76449     0.050      2495      2421
  24.76522  24.76342     0.050      2495      2417
  24.76415  24.76244     0.050      2492      2406
  24.76308  24.76151     0.050      2494      2401
  24.76201  24.76057     0.050      2497      2398
  24.76094  24.75955     0.050      2492      2384
  24.75987  24.75839     0.050      2494      2379
  24.75880  24.75719     0.050      2501      2380
  24.75773  24.75599     0.050      2497      2371
  24.75666  24.75484     0.050      2499      2370
  24.75559  24.75376     0.050      2499      2374
  24.75452  24.75274     0.050      2503      2376
  24.75345  24.75181     0.050      2500      2372
  24.75238  24.75087     0.050      2503      2377
  24.75131  24.74988     0.050      2503      2384
  24.75024  24.74877     0.050      2507      2387
  24.74917  24.74756     0.050      2503      2389
  24.74810  24.74637     0.050      2509      2394
  24.74703  24.74520     0.050      2510      2397
  24.74596  24.74410     0.050      2507      2398
  24.74489  24.74307     0.050      2510      2400
  24.74382  24.74211     0.050      2511      2400
  24.74275  24.74119     0.050      2511      2402
  24.74168  24.74023     0.050      2515      2395
  24.74061  24.73917     0.050      2518      2393
  24.73954  24.73799     0.050      2516      2386
  24.73847  24.73680     0.050      2516      2376
  24.73740  24.73562     0.050      2521      2376
  24.73633  24.73449     0.050      2519      2365
  24.73526  24.73342     0.050      2521      2357
  24.73419  24.73243     0.050      2523      2355
  24.73312  24.73151     0.050      2528      2349
  24.73205  24.73057     0.050      2519      2338
  24.73098  24.72955     0.050      2524      2338
  24.72991  24.72840     0.050      2526      2332
  24.72884  24.72720     0.050      2529      2335
  24.72777  24.72600     0.050      2524      2329
  24.72670  24.72484     0.050      2530      2331
  24.72563  24.72377     0.050      2532      2335
  24.72456  24.72275     0.050      2527      2332
  24.72349  24.72181     0.050      2535      2339
  24.72242  24.72088     0.050      2533      2339
  24.72135  24.71989     0.050      2532      2336
  24.72028  24.71878     0.050      2531      2335
  24.71921  24.71758     0.050      2536      2339
  24.71814  24.71639     0.050      2536      2334
  24.71707  24.71522     0.050      2535      2331
  24.71600  24.71413     0.050      2540      2332
  24.71493  24.71309     0.050      2537      2322
  24.71386  24.71213     0.050      2534      2312
  24.71279  24.71121     0.050      2542      2314
  24.71172  24.71025     0.050      2543      2303
  24.71065  24.70920     0.050      2539      2291
  24.70958  24.70801     0.050      2542      2283
  24.70851  24.70682     0.050      2546      2278
  24.70744  24.70563     0.050      2543      2265
  24.70637  24.70450     0.050      2547      2262
  24.70530  24.70343     0.050      2549      2253
  24.70423  24.70244     0.050      2548      2243
  24.70316  24.70152     0.050      2551      2239
  24.70209  24.70058     0.050      2551      2234
  24.70102  24.69956     0.050      2554      2228
  24.69995  24.69841     0.050      2551      2221
  24.69888  24.69721     0.050      2555      2217
  24.69781  24.69601     0.050      2555      2210
  24.69674  24.69485     0.050      2551      2206
  24.69567  24.69377     0.050      2556      2206
  24.69460  24.69275     0.050      2561      2202
  24.69353  24.69182     0.050      2559      2199
  24.69246  24.69088     0.050      2557      2191
  24.69139  24.68990     0.050      2565      2193
  24.69032  24.68878     0.050      2564      2188
  24.68925  24.68759     0.050      2563      2180
  24.68818  24.68640     0.050      2570      2181
  24.68711  24.68523     0.050      2570      2175
  24.68604  24.68413     0.050      2566      2165
  24.68497  24.68309     0.050      2570      2159
  24.68390  24.68214     0.050      2573      2156
  24.68283  24.68122     0.050      2575      2149
  24.68176  24.68026     0.050      2574      2139
  24.68069  24.67920     0.050      2574      2132
  24.67962  24.67802     0.050      2574      2124
  24.67855  24.67683     0.050      2571      2114
  24.67748  24.67564     0.050      2579      2110
  24.67641  24.67451     0.050      2580      2102
  24.67534  24.67344     0.050      2578      2093
  24.67427  24.67246     0.050      2580      2090
  24.67320  24.67153     0.050      2582      2089
  24.67213  24.67059     0.050      2581      2080
  24.67106  24.66957     0.050      2575      2074
  24.66999  24.66842     0.050      2586      2081
  24.66892  24.66721     0.050      2584      2079
  24.66785  24.66602     0.050      2578      2076
  24.66678  24.66486     0.050      2587      2085
  24.66571  24.66378     0.050      2589      2089
  24.66464  24.66276     0.050      2588      2091
  24.66357  24.66183     0.050      2585      2096
  24.66250  24.66091     0.050      2591      2107
  24.66143  24.65993     0.050      2594      2116
  24.66036  24.65882     0.050      2588      2122
  24.65929  24.65763     0.050      2597      2139
  24.65822  24.65644     0.050      2594      2147
  24.65715  24.65527     0.050      2595      2162
  24.65608  24.65417     0.050      2595      2174
  24.65501  24.65312     0.050      2602      2192
  24.65394  24.65216     0.050      2597      2203
  24.65287  24.65124     0.050      2598      2218
  24.65180  24.65028     0.050      2602      2236
  24.65073  24.64923     0.050      2602      2248
  24.64966  24.64805     0.050      2600      2260
  24.64859  24.64686     0.050      2606      2283
  24.64752  24.64568     0.050      2608      2301
  24.64645  24.64454     0.050      2606      2309
  24.64538  24.64347     0.050      2604      2324
  24.64431  24.64248     0.050      2608      2340
  24.64324  24.64156     0.050      2607      2353
  24.64217  24.64062     0.050      2605      2363
  24.64110  24.63961     0.050      2611      2380
  24.64003  24.63846     0.050      2609      2394
  24.63896  24.63725     0.050      2608      2402
  24.63789  24.63606     0.050      2611      2417
  24.63682  24.63490     0.050      2615      2433
  24.63575  24.63382     0.050      2608      2438
  24.63468  24.63280     0.050      2611      2450
  24.63361  24.63188     0.050      2619      2469
  24.63254  24.63095     0.050      2612      2475
  24.63147  24.62997     0.050      2612      2483
  24.63040  24.62887     0.050      2619      2498
  24.62933  24.62768     0.050      2620      2506
  24.62826  24.62650     0.050      2620      2509
  24.62719  24.62532     0.050      2623      2523
  24.62612  24.62422     0.050      2625      2529
  24.62505  24.62317     0.050      2622      2532
  24.62398  24.62221     0.050      2620      2532
  24.62291  24.62128     0.050      2628      2543
  24.62184  24.62033     0.050      2625      2547
  24.62077  24.61928     0.050      2624      2551
  24.61970  24.61811     0.050      2631      2561
  24.61863  24.61691     0.050      2629      2565
  24.61756  24.61572     0.050      2626      2566
  24.61649  24.61458     0.050      2631      2582
  24.61542  24.61351     0.050      2631      2591
  24.61435  24.61251     0.050      2629      2597
  24.61328  24.61159     0.050      2632      2606
  24.61221  24.61065     0.050      2638      2627
  24.61114  24.60964     0.050      2635      2635
  24.61007  24.60849     0.050      2635      2651
  24.60900  24.60730     0.050      2636      2661
  24.60793  24.60611     0.050      2640      2680
  24.60686  24.60496     0.050      2636      2690
  24.60579  24.60388     0.050      2641      2706
  24.60472  24.60286     0.050      2639      2719
  24.60365  24.60193     0.050      2637      2729
  24.60258  24.60100     0.050      2641      2746
  24.60151  24.60003     0.050      2642      2758
  24.60044  24.59894     0.050      2645      2773
  24.59937  24.59774     0.050      2643      2779
  24.59830  24.59656     0.050      2648      2795
  24.59723  24.59538     0.050      2648      2798
  24.59616  24.59427     0.050      2652      2813
  24.59509  24.59321     0.050      2650      2816
  24.59402  24.59225     0.050      2652      2820
  24.59295  24.59133     0.050      2649      2819
  24.59188  24.59037     0.050      2655      2826
  24.59081  24.58933     0.050      2657      2826
  24.58974  24.58815     0.050      2652      2820
  24.58867  24.58696     0.050      2656      2821
  24.58760  24.58577     0.050      2658      2818
  24.58653  24.58462     0.050      2655      2809
  24.58546  24.58355     0.050      2658      2806
  24.58439  24.58255     0.050      2663      2804
  24.58332  24.58163     0.050      2665      2795
  24.58225  24.58069     0.050      2659      2785
  24.58118  24.57969     0.050      2661      2775
  24.58011  24.57855     0.050      2666      2769
  24.57904  24.57736     0.050      2661      2754
  24.57797  24.57617     0.050      2664      2745
  24.57690  24.57502     0.050      2669      2738
  24.57583  24.57393     0.050      2664      2723
  24.57476  24.57290     0.050      2665      2710
  24.57369  24.57197     0.050      2676      2706
  24.57262  24.57104     0.050      2674      2692
  24.57155  24.57007     0.050      2669      2679
  24.57048  24.56899     0.050      2674      2673
  24.56941  24.56779     0.050      2674      2658
  24.56834  24.56660     0.050      2671      2646
  24.56727  24.56542     0.050      2671      2637
  24.56620  24.56431     0.050      2678      2632
  24.56513  24.56326     0.050      2677      2624
  24.56406  24.56229     0.050      2674      2606
  24.56299  24.56137     0.050      2679      2603
  24.56192  24.56042     0.050      2681      2599
  24.56085  24.55938     0.050      2679      2587
  24.55978  24.55822     0.050      2684      2586
  24.55871  24.55702     0.050      2687      2580
  24.55764  24.55583     0.050      2684      2573
  24.55657  24.55468     0.050      2679      2562
  24.55550  24.55360     0.050      2685      2567
  24.55443  24.55260     0.050      2685      2560
  24.55336  24.55168     0.050      2684      2557
  24.55229  24.55074     0.050      2691      2558
  24.55122  24.54975     0.050      2688      2553
  24.55015  24.54862     0.050      2686      2548
  24.54908  24.54743     0.050      2687      2549
  24.54801  24.54624     0.050      2694      2554
  24.54694  24.54508     0.050      2689      2549
  24.54587  24.54399     0.050      2693      2552
  24.54480  24.54295     0.050      2696      2555
  24.54373  24.54201     0.050      2694      2554
  24.54266  24.54109     0.050      2697      2557
  24.54159  24.54012     0.050      2700      2561
  24.54052  24.53904     0.050      2701      2562
  24.53945  24.53785     0.050      2696      2560
  24.53838  24.53666     0.050      2704      2566
  24.53731  24.53548     0.050      2703      2569
  24.53624  24.53436     0.050      2703      2567
  24.53517  24.53331     0.050      2700      2567
  24.53410  24.53233     0.050      2711      2571
  24.53303  24.53141     0.050      2707      2567
  24.53196  24.53046     0.050      2704      2560
  24.53089  24.52943     0.050      2711      2565
  24.52982  24.52826     0.050      2710      2561
  24.52875  24.52706     0.050      2707      2553
  24.52768  24.52588     0.050      2712      2551
  24.52661  24.52473     0.050      2717      2545
  24.52554  24.52365     0.050      2713      2533
  24.52447  24.52265     0.050      2711      2520
  24.52340  24.52173     0.050      2720      2518
  24.52233  24.52080     0.050      2714      2501
  24.52126  24.51981     0.050      2713      2488
  24.52019  24.51869     0.050      2719      2479
  24.51912  24.51750     0.050      2724      2468
  24.51805  24.51631     0.050      2716      2446
  24.51698  24.51515     0.050      2722      2435
  24.51591  24.51405     0.050      2720      2422
  24.51484  24.51302     0.050      2719      2401
  24.51377  24.51207     0.050      2719      2384
  24.51270  24.51115     0.050      2726      2371
  24.51163  24.51018     0.050      2727      2358
  24.51056  24.50912     0.050      2721      2338
  24.50949  24.50794     0.050      2728      2329
  24.50842  24.50675     0.050      2727      2315
  24.50735  24.50556     0.050      2727      2299
  24.50628  24.50443     0.050      2730      2295
  24.50521  24.50337     0.050      2735      2287
  24.50414  24.50239     0.050      2727      2274
  24.50307  24.50147     0.050      2730      2268
  24.50200  24.50052     0.050      2737      2267
  24.50093  24.49950     0.050      2732      2258
  24.49986  24.49833     0.050      2733      2253
  24.49879  24.49713     0.050      2735      2255
  24.49772  24.49595     0.050      2739      2254
  24.49665  24.49480     0.050      2737      2252
  24.49558  24.49372     0.050      2739      2254
  24.49451  24.49271     0.050      2740      2256
  24.49344  24.49179     0.050      2742      2259
  24.49237  24.49086     0.050      2735      2258
  24.49130  24.48988     0.050      2747      2270
  24.49023  24.48877     0.050      2747      2274
  24.48916  24.48758     0.050      2742      2269
  24.48809  24.48639     0.050      2749      2283
  24.48702  24.48522     0.050      2748      2287
  24.48595  24.48412     0.050      2743      2288
  24.48488  24.48307     0.050      2746      2297
  24.48381  24.48212     0.050      2753      2306
  24.48274  24.48120     0.050      2748      2309
  24.48167  24.48023     0.050      2746      2313
  24.48060  24.47917     0.050      2757      2330
  24.47953  24.47798     0.050      2756      2337
  24.47846  24.47679     0.050      2750      2340
  24.47739  24.47560     0.050      2755      2350
  24.47632  24.47447     0.050      2763      2363
  24.47525  24.47340     0.050      2754      2365
  24.47418  24.47241     0.050      2754      2375
  24.47311  24.47149     0.050      2763      2390
  24.47204  24.47054     0.050      2762      2398
  24.47097  24.46953     0.050      2759      2407
  24.46990  24.46837     0.050      2766      2423
  24.46883  24.46717     0.050      2766      2436
  24.46776  24.46599     0.050      2759      2439
  24.46669  24.46483     0.050      2760      2455
  24.46562  24.46375     0.050      2770      2475
  24.46455  24.46274     0.050      2764      2481
  24.46348  24.46182     0.050      2767      2501
  24.46241  24.46088     0.050      2772      2517
  24.46134  24.45990     0.050      2768      2532
  24.46027  24.45879     0.050      2767      2543
  24.45920  24.45759     0.050      2778      2568
  24.45813  24.45640     0.050      2772      2581
  24.45706  24.45522     0.050      2771      2599
  24.45599  24.45412     0.050      2775      2619
  24.45492  24.45307     0.050      2778      2638
  24.45385  24.45212     0.050      2776      2654
  24.45278  24.45119     0.050      2775      2669
  24.45171  24.45023     0.050      2782      2695
  24.45064  24.44915     0.050      2779      2709
  24.44957  24.44797     0.050      2781      2732
  24.44850  24.44677     0.050      2784      2753
  24.44743  24.44559     0.050      2786      2775
  24.44636  24.44445     0.050      2784      2788
  24.44529  24.44338     0.050      2787      2814
  24.44422  24.44240     0.050      2789      2835
  24.44315  24.44148     0.050      2785      2852
  24.44208  24.44053     0.050      2790      2874
  24.44101  24.43951     0.050      2792      2898
  24.43994  24.43835     0.050      2790      2916
  24.43887  24.43715     0.050      2789      2933
  24.43780  24.43596     0.050      2797      2962
  24.43673  24.43481     0.050      2797      2978
  24.43566  24.43373     0.050      2798      2999
  24.43459  24.43272     0.050      2799      3018
  24.43352  24.43179     0.050      2798      3038
  24.43245  24.43086     0.050      2793      3047
  24.43138  24.42988     0.050      2801      3070
  24.43031  24.42876     0.050      2802      3092
  24.42924  24.42756     0.050      2803      3105
  24.42817  24.42636     0.050      2801      3121
  24.42710  24.42519     0.050      2811      3143
  24.42603  24.42409     0.050      2804      3148
  24.42496  24.42305     0.050      2801      3157
  24.42389  24.42209     0.050      2804      3166
  24.42282  24.42116     0.050      2809      3183
  24.42175  24.42020     0.050      2803      3183
  24.42068  24.41913     0.050      2809      3192
  24.41961  24.41794     0.050      2812      3200
  24.41854  24.41674     0.050      2810      3200
  24.41747  24.41555     0.050      2809      3196
  24.41640  24.41442     0.050      2821      3207
  24.41533  24.41336     0.050      2816      3201
  24.41426  24.41238     0.050      2813      3191
  24.41319  24.41146     0.050      2820      3194
  24.41212  24.41052     0.050      2822      3191
  24.41105  24.40950     0.050      2814      3173
  24.40998  24.40834     0.050      2822      3171
  24.40891  24.40714     0.050      2826      3165
  24.40784  24.40596     0.050      2821      3150
  24.40677  24.40480     0.050      2823      3137
  24.40570  24.40373     0.050      2831      3133
  24.40463  24.40272     0.050      2824      3114
  24.40356  24.40179     0.050      2825      3102
  24.40249  24.40086     0.050      2829      3090
  24.40142  24.39987     0.050      2829      3072
  24.40035  24.39874     0.050      2825      3053
  24.39928  24.39754     0.050      2828      3039
  24.39821  24.39635     0.050      2835      3031
  24.39714  24.39518     0.050      2833      3011
  24.39607  24.39407     0.050      2837      2998
  24.39500  24.39303     0.050      2843      2990
  24.39393  24.39208     0.050      2839      2974
  24.39286  24.39115     0.050      2836      2956
  24.39179  24.39018     0.050      2847      2950
  24.39072  24.38911     0.050      2844      2933
  24.38965  24.38792     0.050      2838      2916
  24.38858  24.38672     0.050      2842      2908
  24.38751  24.38554     0.050      2846      2904
  24.38644  24.38442     0.050      2843      2888
  24.38537  24.38336     0.050      2846      2876
  24.38430  24.38238     0.050      2850      2875
  24.38323  24.38147     0.050      2854      2870
  24.38216  24.38052     0.050      2846      2856
  24.38109  24.37951     0.050      2852      2856
  24.38002  24.37835     0.050      2853      2847
  24.37895  24.37715     0.050      2853      2841
  24.37788  24.37596     0.050      2855      2837
  24.37681  24.37481     0.050      2857      2839
  24.37574  24.37373     0.050      2856      2833
  24.37467  24.37271     0.050      2854      2830
  24.37360  24.37178     0.050      2861      2834
  24.37253  24.37085     0.050      2859      2830
  24.37146  24.36986     0.050      2853      2821
  24.37039  24.36874     0.050      2863      2829
  24.36932  24.36754     0.050      2862      2827
  24.36825  24.36634     0.050      2864      2827
  24.36718  24.36517     0.050      2864      2830
  24.36611  24.36407     0.050      2871      2837
  24.36504  24.36303     0.050      2865      2831
  24.36397  24.36208     0.050      2862      2831
  24.36290  24.36115     0.050      2873      2844
  24.36183  24.36018     0.050      2872      2844
  24.36076  24.35911     0.050      2868      2845
  24.35969  24.35792     0.050      2871      2849
  24.35862  24.35673     0.050      2878      2857
  24.35755  24.35554     0.050      2870      2857
  24.35648  24.35442     0.050      2876      2865
  24.35541  24.35336     0.050      2878      2865
  24.35434  24.35238     0.050      2873      2861
  24.35327  24.35147     0.050      2876      2872
  24.35220  24.35052     0.050      2882      2879
  24.35113  24.34951     0.050      2882      2881
  24.35006  24.34835     0.050      2874      2877
  24.34899  24.34714     0.050      2878      2881
  24.34792  24.34595     0.050      2883      2889
  24.34685  24.34480     0.050      2881      2889
  24.34578  24.34372     0.050      2879      2889
  24.34471  24.34270     0.050      2887      2897
  24.34364  24.34178     0.050      2883      2895
  24.34257  24.34084     0.050      2881      2892
  24.34150  24.33985     0.050      2887      2903
  24.34043  24.33873     0.050      2885      2901
  24.33936  24.33753     0.050      2885      2899
  24.33829  24.33633     0.050      2888      2908
  24.33722  24.33516     0.050      2896      2911
  24.33615  24.33406     0.050      2894      2913
  24.33508  24.33301     0.050      2890      2909
  24.33401  24.33205     0.050      2893      2917
  24.33294  24.33112     0.050      2893      2918
  24.33187  24.33015     0.050      2893      2917
  24.33080  24.32908     0.050      2895      2921
  24.32973  24.32790     0.050      2897      2924
  24.32866  24.32671     0.050      2895      2929
  24.32759  24.32552     0.050      2898      2930
  24.32652  24.32440     0.050      2900      2938
  24.32545  24.32334     0.050      2898      2941
  24.32438  24.32236     0.050      2902      2942
  24.32331  24.32144     0.050      2901      2944
  24.32224  24.32050     0.050      2902      2949
  24.32117  24.31947     0.050      2899      2951
  24.32010  24.31831     0.050      2905      2954
  24.31903  24.31710     0.050      2902      2962
  24.31796  24.31590     0.050      2898      2960
  24.31689  24.31475     0.050      2906      2969
  24.31582  24.31367     0.050      2908      2974
  24.31475  24.31266     0.050      2901      2969
  24.31368  24.31173     0.050      2904      2973
  24.31261  24.31079     0.050      2911      2977
  24.31154  24.30979     0.050      2910      2978
  24.31047  24.30865     0.050      2905      2971
  24.30940  24.30744     0.050      2905      2971
  24.30833  24.30625     0.050      2903      2967
  24.30726  24.30507     0.050      2867      2927
  24.30619  24.30397     0.050      2857      2911
  24.30512  24.30293     0.050      2897      2946
  24.30405  24.30198     0.050      2930      2978
  24.30298  24.30105     0.050      2932      2970
  24.30191  24.30008     0.050      2926      2960
  24.30084  24.29900     0.050      2930      2955
  24.29977  24.29781     0.050      2924      2945
  24.29870  24.29661     0.050      2933      2941
  24.29763  24.29543     0.050      2927      2927
  24.29656  24.29431     0.050      2931      2918
  24.29549  24.29326     0.050      2930      2909
  24.29442  24.29228     0.050      2933      2902
  24.29335  24.29136     0.050      2931      2888
  24.29228  24.29041     0.050      2931      2884
  24.29121  24.28936     0.050      2935      2877
  24.29014  24.28819     0.050      2931      2866
  24.28907  24.28698     0.050      2929      2853
  24.28800  24.28579     0.050      2919      2838
  24.28693  24.28465     0.050      2909      2818
  24.28586  24.28357     0.050      2917      2820
  24.28479  24.28257     0.050      2939      2836
  24.28372  24.28164     0.050      2930      2821
  24.28265  24.28070     0.050      2906      2795
  24.28158  24.27969     0.050      2910      2793
  24.28051  24.27855     0.050      2940      2819
  24.27944  24.27734     0.050      2941      2820
  24.27837  24.27614     0.050      2947      2820
  24.27730  24.27498     0.050      2950      2820
  24.27623  24.27389     0.050      2948      2820
  24.27516  24.27286     0.050      2948      2821
  24.27409  24.27192     0.050      2953      2823
  24.27302  24.27099     0.050      2952      2823
  24.27195  24.27002     0.050      2950      2822
  24.27088  24.26893     0.050      2954      2824
  24.26981  24.26774     0.050      2957      2832
  24.26874  24.26655     0.050      2953      2826
  24.26767  24.26537     0.050      2951      2828
  24.26660  24.26425     0.050      2956      2834
  24.26553  24.26320     0.050      2951      2833
  24.26446  24.26223     0.050      2936      2820
  24.26339  24.26131     0.050      2898      2785
  24.26232  24.26035     0.050      2913      2804
  24.26125  24.25931     0.050      2957      2849
  24.26018  24.25813     0.050      2978      2869
  24.25911  24.25693     0.050      2977      2876
  24.25804  24.25574     0.050      2975      2882
  24.25697  24.25460     0.050      2975      2881
  24.25590  24.25352     0.050      2978      2888
  24.25483  24.25253     0.050      2979      2896
  24.25376  24.25160     0.050      2974      2895
  24.25269  24.25065     0.050      2975      2904
  24.25162  24.24964     0.050      2976      2910
  24.25055  24.24849     0.050      2976      2915
  24.24948  24.24729     0.050      2974      2923
  24.24841  24.24610     0.050      2979      2933
  24.24734  24.24493     0.050      2979      2939
  24.24627  24.24385     0.050      2977      2948
  24.24520  24.24282     0.050      2981      2961
  24.24413  24.24189     0.050      2982      2969
  24.24306  24.24096     0.050      2977      2971
  24.24199  24.23998     0.050      2984      2988
  24.24092  24.23888     0.050      2990      3003
  24.23985  24.23768     0.050      2987      3007
  24.23878  24.23649     0.050      2985      3020
  24.23771  24.23531     0.050      2991      3034
  24.23664  24.23420     0.050      2992      3047
  24.23557  24.23314     0.050      2988      3052
  24.23450  24.23218     0.050      2993      3071
  24.23343  24.23126     0.050      2995      3081
  24.23236  24.23030     0.050      2990      3085
  24.23129  24.22925     0.050      2996      3106
  24.23022  24.22806     0.050      2999      3119
  24.22915  24.22686     0.050      2994      3124
  24.22808  24.22567     0.050      2996      3141
  24.22701  24.22453     0.050      3002      3158
  24.22594  24.22346     0.050      2998      3165
  24.22487  24.22247     0.050      2997      3173
  24.22380  24.22154     0.050      3000      3191
  24.22273  24.22059     0.050      3005      3203
  24.22166  24.21958     0.050      3003      3214
  24.22059  24.21842     0.050      3006      3225
  24.21952  24.21723     0.050      3011      3245
  24.21845  24.21604     0.050      3004      3248
  24.21738  24.21488     0.050      3005      3257
  24.21631  24.21380     0.050      3012      3274
  24.21524  24.21279     0.050      3012      3285
  24.21417  24.21185     0.050      3010      3294
  24.21310  24.21092     0.050      3012      3306
  24.21203  24.20994     0.050      3014      3319
  24.21096  24.20884     0.050      3014      3322
  24.20989  24.20764     0.050      3018      3336
  24.20882  24.20645     0.050      3022      3346
  24.20775  24.20527     0.050      3014      3349
  24.20668  24.20416     0.050      3018      3360
  24.20561  24.20311     0.050      3025      3375
  24.20454  24.20215     0.050      3020      3376
  24.20347  24.20123     0.050      3022      3383
  24.20240  24.20027     0.050      3028      3396
  24.20133  24.19921     0.050      3028      3397
  24.20026  24.19803     0.050      3022      3398
  24.19919  24.19683     0.050      3025      3408
  24.19812  24.19564     0.050      3035      3421
  24.19705  24.19451     0.050      3030      3416
  24.19598  24.19344     0.050      3028      3418
  24.19491  24.19245     0.050      3033      3423
  24.19384  24.19153     0.050      3036      3428
  24.19277  24.19058     0.050      3031      3426
  24.19170  24.18957     0.050      3035      3430
  24.19063  24.18842     0.050      3036      3432
  24.18956  24.18722     0.050      3036      3429
  24.18849  24.18604     0.050      3037      3432
  24.18742  24.18488     0.050      3040      3434
  24.18635  24.18380     0.050      3040      3432
