  9809     SPring-8 14b2 
 Cu-K_Cu-foil_S  14.06.25 17:41 - 14.06.25 17:45
 Cu-foil                                                                         
 Ring :   8.0 GeV    99.5 mA -   99.5 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 26.09900 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 4577
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       26.00000  21.10000    -0.001070       0.05      4577
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3
      Mode         0         0         1         2
    Offset         0         0   134.300   117.200
  25.85127  25.84970     0.050      1732      7706
  25.85020  25.84858     0.050      1726      7689
  25.84913  25.84739     0.050      1726      7681
  25.84806  25.84621     0.050      1731      7714
  25.84699  25.84507     0.050      1727      7687
  25.84592  25.84399     0.050      1725      7687
  25.84485  25.84296     0.050      1727      7698
  25.84378  25.84202     0.050      1730      7701
  25.84271  25.84111     0.050      1724      7687
  25.84164  25.84015     0.050      1727      7705
  25.84057  25.83908     0.050      1729      7709
  25.83950  25.83791     0.050      1724      7684
  25.83843  25.83672     0.050      1727      7695
  25.83736  25.83555     0.050      1726      7701
  25.83629  25.83444     0.050      1724      7695
  25.83522  25.83338     0.050      1722      7688
  25.83415  25.83240     0.050      1723      7688
  25.83308  25.83149     0.050      1726      7700
  25.83201  25.83055     0.050      1722      7695
  25.83094  25.82954     0.050      1723      7692
  25.82987  25.82839     0.050      1725      7698
  25.82880  25.82720     0.050      1722      7690
  25.82773  25.82603     0.050      1724      7702
  25.82666  25.82489     0.050      1724      7700
  25.82559  25.82383     0.050      1722      7699
  25.82452  25.82282     0.050      1723      7694
  25.82345  25.82189     0.050      1724      7701
  25.82238  25.82097     0.050      1726      7716
  25.82131  25.82001     0.050      1723      7698
  25.82024  25.81892     0.050      1722      7701
  25.81917  25.81773     0.050      1726      7716
  25.81810  25.81651     0.050      1723      7710
  25.81703  25.81530     0.050      1724      7703
  25.81596  25.81419     0.050      1731      7750
  25.81489  25.81315     0.050      1730      7741
  25.81382  25.81220     0.050      1727      7730
  25.81275  25.81129     0.050      1733      7760
  25.81168  25.81034     0.050      1735      7760
  25.81061  25.80931     0.050      1728      7740
  25.80954  25.80814     0.050      1729      7746
  25.80847  25.80695     0.050      1732      7753
  25.80740  25.80577     0.050      1730      7748
  25.80633  25.80464     0.050      1727      7731
  25.80526  25.80357     0.050      1730      7753
  25.80419  25.80257     0.050      1730      7744
  25.80312  25.80166     0.050      1726      7737
  25.80205  25.80073     0.050      1730      7756
  25.80098  25.79974     0.050      1729      7750
  25.79991  25.79861     0.050      1727      7749
  25.79884  25.79742     0.050      1730      7757
  25.79777  25.79624     0.050      1730      7762
  25.79670  25.79508     0.050      1730      7757
  25.79563  25.79400     0.050      1733      7771
  25.79456  25.79298     0.050      1732      7778
  25.79349  25.79204     0.050      1732      7770
  25.79242  25.79113     0.050      1728      7761
  25.79135  25.79017     0.050      1731      7773
  25.79028  25.78909     0.050      1730      7769
  25.78921  25.78791     0.050      1728      7758
  25.78814  25.78672     0.050      1729      7771
  25.78707  25.78555     0.050      1732      7780
  25.78600  25.78443     0.050      1729      7766
  25.78493  25.78337     0.050      1729      7772
  25.78386  25.78240     0.050      1730      7782
  25.78279  25.78148     0.050      1728      7768
  25.78172  25.78054     0.050      1731      7779
  25.78065  25.77953     0.050      1732      7791
  25.77958  25.77837     0.050      1732      7792
  25.77851  25.77717     0.050      1729      7775
  25.77744  25.77599     0.050      1731      7783
  25.77637  25.77484     0.050      1735      7800
  25.77530  25.77377     0.050      1727      7774
  25.77423  25.77275     0.050      1728      7788
  25.77316  25.77183     0.050      1735      7807
  25.77209  25.77091     0.050      1731      7793
  25.77102  25.76994     0.050      1732      7793
  25.76995  25.76884     0.050      1730      7798
  25.76888  25.76765     0.050      1732      7810
  25.76781  25.76646     0.050      1728      7790
  25.76674  25.76530     0.050      1735      7812
  25.76567  25.76420     0.050      1734      7815
  25.76460  25.76316     0.050      1738      7828
  25.76353  25.76220     0.050      1732      7815
  25.76246  25.76129     0.050      1734      7827
  25.76139  25.76034     0.050      1734      7816
  25.76032  25.75929     0.050      1734      7820
  25.75925  25.75811     0.050      1738      7838
  25.75818  25.75692     0.050      1739      7836
  25.75711  25.75575     0.050      1733      7820
  25.75604  25.75461     0.050      1739      7846
  25.75497  25.75355     0.050      1740      7851
  25.75390  25.75256     0.050      1733      7829
  25.75283  25.75164     0.050      1737      7840
  25.75176  25.75070     0.050      1741      7859
  25.75069  25.74969     0.050      1737      7845
  25.74962  25.74855     0.050      1737      7843
  25.74855  25.74735     0.050      1742      7864
  25.74748  25.74617     0.050      1739      7859
  25.74641  25.74501     0.050      1735      7840
  25.74534  25.74393     0.050      1742      7869
  25.74427  25.74291     0.050      1744      7882
  25.74320  25.74197     0.050      1740      7865
  25.74213  25.74105     0.050      1743      7878
  25.74106  25.74009     0.050      1743      7884
