  9809     SPring-8 14b2 
 Pb-L21_PbTe_Si  21.02.10 08:03 - 21.02.10 08:09
 PbTe                                                                            
 Ring :   8.0 GeV    99.6 mA -   99.6 mA
 Mono :   SI(311)       D=  1.63747 A    Initial angle= 14.92483 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 6727
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1       14.74500  12.58000    -0.000330       0.05      6727
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3         4
      Mode         0         0         1         2         3
    Offset         0         0   229.200   251.100   177.000
  14.70507  14.70924     0.050     29932     26082      3310
  14.70474  14.70898     0.050     29939     26092      3310
  14.70441  14.70871     0.050     29910     26062      3309
  14.70408  14.70844     0.050     29908     26070      3310
  14.70375  14.70815     0.050     29937     26102      3317
  14.70342  14.70788     0.050     29888     26066      3307
  14.70309  14.70761     0.050     29863     26061      3310
  14.70276  14.70733     0.050     29890     26074      3312
  14.70243  14.70704     0.050     29913     26094      3311
  14.70210  14.70673     0.050     29887     26085      3311
  14.70177  14.70639     0.050     29852     26058      3311
  14.70144  14.70602     0.050     29901     26091      3315
  14.70111  14.70566     0.050     29852     26059      3312
  14.70078  14.70529     0.050     29732     25951      3301
  14.70045  14.70495     0.050     29613     25855      3284
  14.70012  14.70462     0.050     29359     25624      3264
  14.69979  14.70429     0.050     29037     25366      3225
  14.69946  14.70394     0.050     28765     25116      3198
  14.69913  14.70360     0.050     28533     24920      3167
  14.69880  14.70325     0.050     28299     24721      3142
  14.69847  14.70290     0.050     28221     24657      3138
  14.69814  14.70257     0.050     28264     24703      3141
  14.69781  14.70226     0.050     28345     24793      3154
  14.69748  14.70196     0.050     28523     24946      3176
  14.69715  14.70166     0.050     28799     25179      3205
  14.69682  14.70136     0.050     29043     25394      3232
  14.69649  14.70107     0.050     29276     25614      3262
  14.69616  14.70078     0.050     29513     25822      3287
  14.69583  14.70054     0.050     29695     25974      3309
  14.69550  14.70033     0.050     29761     26054      3316
  14.69517  14.70013     0.050     29814     26086      3322
  14.69484  14.69996     0.050     29855     26123      3327
  14.69451  14.69981     0.050     29861     26139      3330
  14.69418  14.69965     0.050     29852     26129      3332
  14.69385  14.69951     0.050     29877     26157      3330
  14.69352  14.69939     0.050     29903     26173      3334
  14.69319  14.69925     0.050     29867     26152      3331
  14.69286  14.69911     0.050     29890     26166      3334
  14.69253  14.69899     0.050     29905     26184      3338
  14.69220  14.69888     0.050     29876     26162      3334
  14.69187  14.69874     0.050     29887     26174      3334
  14.69154  14.69862     0.050     29913     26206      3340
