key	value
@instrument@slit_0@name	4Dslit
@instrument@slit_0@vertical_size	1.0
@instrument@slit_0@vertical_size_unit	mm
@instrument@slit_0@horizontal_size	5.0
@instrument@slit_0@horizontal_size_unit	mm
@instrument@xafs@I0@element_0@type	Ion Chamber
@instrument@xafs@I0@element_0@gas	N2 75% + Ar 25%
@instrument@xafs@I0@element_0@HV	1000.0
@instrument@xafs@I0@element_0@HV_unit	V
@instrument@xafs@I0@element_0@amp_gain	10000000.0
@instrument@xafs@I0@element_0@amp_gain_unit	V/A
@instrument@xafs@I0@element_number	1
@instrument@xafs@I1@element_0@type	Ion Chamber
@instrument@xafs@I1@element_0@gas	Ar 100%
@instrument@xafs@I1@element_0@HV	1000.0
@instrument@xafs@I1@element_0@HV_unit	V
@instrument@xafs@I1@element_0@amp_gain	10000000.0
@instrument@xafs@I1@element_0@amp_gain_unit	V/A
@instrument@xafs@I1@element_number	1
@instrument@xafs@I2@element_0@type	Ion Chamber
@instrument@xafs@I2@element_0@gas	Ar 100%
@instrument@xafs@I2@element_0@HV	1000.0
@instrument@xafs@I2@element_0@HV_unit	V
@instrument@xafs@I2@element_0@amp_gain	100000000.0
@instrument@xafs@I2@element_0@amp_gain_unit	V/A
@instrument@xafs@I2@element_number	1
@local@measurement_time	336.0
@local@measurement_time_unit	sec
@local@xafs_filename_list_0	Pb-L21_Pb3O4_Si111_50ms_210210.dat
@local@xafs_processed_data_format_0@extension	ex3
@local@xafs_processed_data_format_0@format	Rex2000
@local@xafs_processed_data_format_0@columns_0@name	photon energy
@local@xafs_processed_data_format_0@columns_0@unit	eV
@local@xafs_processed_data_format_0@columns_0@formula	12398/(2*D*math.sin(columns[1]))
@local@xafs_processed_data_format_0@columns_0@input@columns	xafs_raw_data_format[0].columns
@local@xafs_processed_data_format_0@columns_0@input@D	xafs_raw_data_format[0].parameter.D
@local@xafs_processed_data_format_0@columns_1@name	absorption coefficient mu*t
