  9809     SPring-8 14b2 
 Pb-L21_Pb3O4_S  21.02.10 01:11 - 21.02.10 01:17
 Pb3O4                                                                           
 Ring :   8.0 GeV    99.6 mA -   99.5 mA
 Mono :   SI(111)       D=  3.13551 A    Initial angle=  7.72956 deg
 14b2      Transmission( 2)   Repetition=  1     Points= 6730
 Param file :                 angle axis (1)     Block =    1

 Block      Init-ang  final-ang     Step/deg     Time/s       Num
     1        7.64000   6.53000    -0.000170       0.05      6730
 Ortec( 0)     NDCH = 3
  Angle(c)  Angle(o)    time/s         2         3         4
      Mode         0         0         1         2         3
    Offset         0         0   211.100   256.500   176.500
   7.33706   7.35495     0.050     14717     12628     13700
   7.33689   7.35479     0.050     14700     12613     13676
   7.33672   7.35462     0.050     14691     12607     13680
   7.33655   7.35446     0.050     14714     12627     13698
   7.33638   7.35430     0.050     14687     12607     13686
   7.33621   7.35415     0.050     14686     12608     13682
   7.33604   7.35400     0.050     14707     12627     13703
   7.33587   7.35386     0.050     14702     12623     13709
   7.33570   7.35371     0.050     14692     12613     13698
   7.33553   7.35358     0.050     14690     12616     13688
   7.33536   7.35345     0.050     14701     12622     13704
   7.33519   7.35332     0.050     14690     12614     13702
   7.33502   7.35318     0.050     14689     12618     13712
   7.33485   7.35305     0.050     14695     12625     13712
   7.33468   7.35291     0.050     14695     12625     13719
   7.33451   7.35277     0.050     14681     12615     13706
   7.33434   7.35263     0.050     14687     12621     13711
   7.33417   7.35248     0.050     14700     12632     13727
   7.33400   7.35233     0.050     14677     12619     13719
   7.33383   7.35218     0.050     14686     12624     13721
   7.33366   7.35204     0.050     14698     12633     13734
   7.33349   7.35189     0.050     14681     12623     13728
   7.33332   7.35175     0.050     14676     12620     13724
   7.33315   7.35160     0.050     14698     12637     13743
   7.33298   7.35146     0.050     14689     12633     13741
   7.33281   7.35131     0.050     14677     12626     13733
   7.33264   7.35116     0.050     14691     12637     13753
   7.33247   7.35101     0.050     14682     12630     13745
   7.33230   7.35085     0.050     14681     12633     13748
   7.33213   7.35068     0.050     14676     12626     13745
   7.33196   7.35050     0.050     14686     12636     13752
   7.33179   7.35031     0.050     14689     12639     13762
   7.33162   7.35012     0.050     14676     12631     13750
   7.33145   7.34993     0.050     14684     12638     13764
   7.33128   7.34973     0.050     14691     12645     13779
   7.33111   7.34954     0.050     14681     12641     13765
   7.33094   7.34935     0.050     14672     12631     13761
   7.33077   7.34917     0.050     14684     12647     13784
   7.33060   7.34899     0.050     14671     12635     13767
   7.33043   7.34881     0.050     14666     12635     13768
   7.33026   7.34863     0.050     14683     12647     13783
   7.33009   7.34846     0.050     14671     12642     13776
   7.32992   7.34828     0.050     14670     12640     13778
   7.32975   7.34810     0.050     14677     12648     13785
   7.32958   7.34792     0.050     14676     12647     13790
   7.32941   7.34773     0.050     14661     12638     13786
   7.32924   7.34755     0.050     14672     12646     13798
   7.32907   7.34736     0.050     14662     12637     13791
   7.32890   7.34717     0.050     14661     12643     13794
   7.32873   7.34699     0.050     14664     12643     13793
   7.32856   7.34681     0.050     14658     12644     13796
   7.32839   7.34664     0.050     14663     12649     13803
   7.32822   7.34647     0.050     14651     12640     13799
   7.32805   7.34630     0.050     14656     12645     13810
   7.32788   7.34613     0.050     14664     12654     13814
   7.32771   7.34596     0.050     14651     12643     13807
   7.32754   7.34580     0.050     14648     12644     13802
   7.32737   7.34564     0.050     14658     12654     13817
   7.32720   7.34547     0.050     14654     12648     13821
   7.32703   7.34530     0.050     14644     12644     13813
   7.32686   7.34513     0.050     14662     12658     13828
   7.32669   7.34497     0.050     14655     12654     13831
   7.32652   7.34480     0.050     14648     12650     13823
   7.32635   7.34464     0.050     14656     12657     13837
   7.32618   7.34448     0.050     14647     12655     13832
   7.32601   7.34432     0.050     14647     12654     13834
   7.32584   7.34416     0.050     14646     12655     13843
   7.32567   7.34401     0.050     14656     12661     13840
   7.32550   7.34387     0.050     14647     12661     13843
   7.32533   7.34373     0.050     14646     12661     13855
   7.32516   7.34360     0.050     14643     12657     13848
   7.32499   7.34346     0.050     14646     12663     13856
   7.32482   7.34333     0.050     14652     12672     13865
   7.32465   7.34320     0.050     14646     12666     13864
   7.32448   7.34306     0.050     14652     12674     13876
   7.32431   7.34292     0.050     14645     12667     13863
   7.32414   7.34278     0.050     14640     12665     13866
   7.32397   7.34264     0.050     14646     12674     13878
   7.32380   7.34249     0.050     14637     12668     13865
   7.32363   7.34234     0.050     14641     12672     13883
   7.32346   7.34220     0.050     14651     12682     13889
   7.32329   7.34205     0.050     14635     12672     13880
   7.32312   7.34190     0.050     14635     12674     13880
   7.32295   7.34176     0.050     14644     12683     13901
   7.32278   7.34161     0.050     14635     12677     13896
   7.32261   7.34147     0.050     14635     12681     13903
   7.32244   7.34132     0.050     14642     12683     13900
   7.32227   7.34117     0.050     14628     12678     13897
   7.32210   7.34101     0.050     14629     12680     13897
   7.32193   7.34085     0.050     14636     12688     13911
   7.32176   7.34068     0.050     14632     12684     13911
   7.32159   7.34050     0.050     14632     12688     13927
   7.32142   7.34032     0.050     14629     12688     13916
   7.32125   7.34012     0.050     14628     12690     13923
   7.32108   7.33993     0.050     14632     12694     13937
   7.32091   7.33973     0.050     14617     12683     13922
   7.32074   7.33954     0.050     14628     12693     13934
   7.32057   7.33935     0.050     14641     12706     13946
   7.32040   7.33917     0.050     14627     12697     13938
   7.32023   7.33898     0.050     14621     12696     13938
   7.32006   7.33881     0.050     14623     12702     13948
   7.31989   7.33863     0.050     14609     12688     13940
   7.31972   7.33845     0.050     14614     12696     13949
   7.31955   7.33828     0.050     14620     12703     13957
   7.31938   7.33810     0.050     14614     12697     13953
   7.31921   7.33791     0.050     14612     12699     13964
   7.31904   7.33773     0.050     14617     12705     13960
   7.31887   7.33753     0.050     14610     12700     13963
   7.31870   7.33735     0.050     14603     12698     13955
   7.31853   7.33716     0.050     14612     12707     13971
   7.31836   7.33698     0.050     14612     12708     13970
   7.31819   7.33680     0.050     14601     12702     13969
   7.31802   7.33662     0.050     14603     12708     13977
   7.31785   7.33645     0.050     14608     12714     13991
   7.31768   7.33628     0.050     14603     12712     13979
   7.31751   7.33611     0.050     14597     12711     13980
   7.31734   7.33595     0.050     14602     12715     13991
   7.31717   7.33578     0.050     14611     12725     14003
   7.31700   7.33561     0.050     14599     12716     14000
   7.31683   7.33545     0.050     14607     12727     14013
   7.31666   7.33528     0.050     14614     12733     14023
   7.31649   7.33512     0.050     14594     12720     14012
   7.31632   7.33495     0.050     14598     12724     14009
   7.31615   7.33478     0.050     14618     12741     14033
   7.31598   7.33462     0.050     14594     12726     14025
   7.31581   7.33445     0.050     14605     12737     14024
   7.31564   7.33430     0.050     14609     12743     14047
   7.31547   7.33414     0.050     14608     12741     14044
   7.31530   7.33400     0.050     14595     12733     14034
   7.31513   7.33385     0.050     14592     12733     14041
   7.31496   7.33371     0.050     14594     12734     14045
   7.31479   7.33357     0.050     14582     12732     14030
   7.31462   7.33344     0.050     14574     12724     14028
   7.31445   7.33331     0.050     14568     12723     14035
   7.31428   7.33318     0.050     14568     12724     14031
   7.31411   7.33304     0.050     14541     12702     14003
   7.31394   7.33291     0.050     14540     12703     14007
   7.31377   7.33277     0.050     14541     12704     14012
   7.31360   7.33262     0.050     14520     12688     13999
   7.31343   7.33247     0.050     14513     12689     14001
   7.31326   7.33232     0.050     14517     12690     14008
   7.31309   7.33218     0.050     14498     12679     13994
   7.31292   7.33203     0.050     14499     12680     14001
   7.31275   7.33189     0.050     14513     12693     14014
   7.31258   7.33174     0.050     14508     12691     14019
   7.31241   7.33160     0.050     14509     12697     14020
   7.31224   7.33145     0.050     14514     12702     14029
   7.31207   7.33130     0.050     14518     12705     14037
   7.31190   7.33115     0.050     14512     12704     14036
   7.31173   7.33099     0.050     14534     12723     14060
   7.31156   7.33083     0.050     14539     12732     14067
   7.31139   7.33066     0.050     14539     12733     14075
   7.31122   7.33048     0.050     14552     12745     14086
   7.31105   7.33030     0.050     14565     12760     14102
   7.31088   7.33010     0.050     14565     12761     14104
   7.31071   7.32990     0.050     14567     12765     14113
   7.31054   7.32971     0.050     14572     12773     14126
   7.31037   7.32953     0.050     14582     12783     14137
   7.31020   7.32933     0.050     14572     12774     14133
   7.31003   7.32915     0.050     14571     12775     14137
   7.30986   7.32897     0.050     14585     12791     14151
   7.30969   7.32879     0.050     14571     12778     14137
   7.30952   7.32862     0.050     14570     12784     14141
   7.30935   7.32844     0.050     14586     12794     14159
   7.30918   7.32826     0.050     14583     12796     14164
   7.30901   7.32808     0.050     14568     12783     14153
   7.30884   7.32791     0.050     14576     12792     14163
   7.30867   7.32772     0.050     14583     12795     14175
   7.30850   7.32753     0.050     14574     12795     14175
   7.30833   7.32734     0.050     14572     12794     14177
   7.30816   7.32716     0.050     14581     12803     14182
   7.30799   7.32697     0.050     14579     12801     14181
   7.30782   7.32678     0.050     14570     12797     14182
   7.30765   7.32661     0.050     14567     12798     14178
   7.30748   7.32644     0.050     14572     12803     14183
   7.30731   7.32628     0.050     14561     12796     14182
   7.30714   7.32611     0.050     14565     12799     14189
   7.30697   7.32594     0.050     14565     12803     14190
   7.30680   7.32577     0.050     14563     12801     14194
   7.30663   7.32561     0.050     14560     12800     14195
   7.30646   7.32544     0.050     14575     12815     14210
   7.30629   7.32528     0.050     14564     12809     14204
   7.30612   7.32511     0.050     14564     12809     14206
   7.30595   7.32495     0.050     14567     12812     14213
   7.30578   7.32478     0.050     14557     12804     14201
   7.30561   7.32461     0.050     14561     12809     14207
   7.30544   7.32445     0.050     14564     12811     14223
   7.30527   7.32429     0.050     14567     12817     14228
   7.30510   7.32414     0.050     14551     12804     14207
   7.30493   7.32399     0.050     14558     12813     14226
   7.30476   7.32385     0.050     14552     12809     14224
   7.30459   7.32371     0.050     14551     12810     14225
   7.30442   7.32358     0.050     14548     12808     14221
   7.30425   7.32344     0.050     14558     12820     14238
   7.30408   7.32331     0.050     14556     12819     14239
   7.30391   7.32317     0.050     14541     12805     14225
   7.30374   7.32304     0.050     14548     12812     14241
   7.30357   7.32290     0.050     14564     12829     14261
   7.30340   7.32276     0.050     14545     12815     14245
   7.30323   7.32261     0.050     14542     12816     14243
   7.30306   7.32247     0.050     14560     12830     14261
   7.30289   7.32232     0.050     14545     12818     14260
   7.30272   7.32217     0.050     14532     12809     14245
   7.30255   7.32203     0.050     14552     12826     14268
   7.30238   7.32188     0.050     14558     12831     14268
   7.30221   7.32173     0.050     14538     12820     14260
   7.30204   7.32159     0.050     14542     12822     14260
   7.30187   7.32144     0.050     14551     12830     14282
   7.30170   7.32129     0.050     14538     12821     14272
   7.30153   7.32114     0.050     14532     12818     14264
   7.30136   7.32099     0.050     14543     12826     14280
   7.30119   7.32082     0.050     14545     12827     14285
   7.30102   7.32065     0.050     14525     12815     14269
   7.30085   7.32047     0.050     14541     12829     14290
   7.30068   7.32028     0.050     14548     12837     14303
   7.30051   7.32009     0.050     14527     12820     14279
   7.30034   7.31990     0.050     14532     12825     14284
   7.30017   7.31971     0.050     14548     12840     14306
   7.30000   7.31951     0.050     14522     12819     14287
   7.29983   7.31932     0.050     14521     12822     14295
   7.29966   7.31913     0.050     14533     12833     14306
   7.29949   7.31895     0.050     14525     12828     14292
   7.29932   7.31878     0.050     14521     12823     14296
   7.29915   7.31860     0.050     14532     12835     14309
   7.29898   7.31843     0.050     14537     12839     14315
   7.29881   7.31825     0.050     14517     12824     14298
   7.29864   7.31807     0.050     14521     12826     14311
   7.29847   7.31789     0.050     14533     12837     14323
   7.29830   7.31770     0.050     14526     12835     14322
   7.29813   7.31752     0.050     14507     12821     14305
   7.29796   7.31733     0.050     14530     12840     14334
   7.29779   7.31714     0.050     14525     12836     14326
   7.29762   7.31696     0.050     14507     12820     14309
   7.29745   7.31678     0.050     14517     12833     14324
   7.29728   7.31660     0.050     14536     12851     14344
   7.29711   7.31643     0.050     14502     12822     14318
   7.29694   7.31626     0.050     14507     12827     14330
   7.29677   7.31610     0.050     14531     12848     14355
   7.29660   7.31594     0.050     14509     12830     14332
   7.29643   7.31577     0.050     14506     12833     14341
   7.29626   7.31560     0.050     14517     12842     14356
   7.29609   7.31543     0.050     14513     12841     14356
   7.29592   7.31526     0.050     14501     12829     14337
   7.29575   7.31510     0.050     14513     12842     14357
   7.29558   7.31493     0.050     14518     12846     14361
   7.29541   7.31476     0.050     14508     12839     14361
   7.29524   7.31460     0.050     14500     12833     14354
   7.29507   7.31444     0.050     14517     12849     14377
   7.29490   7.31428     0.050     14512     12848     14370
   7.29473   7.31413     0.050     14491     12832     14348
   7.29456   7.31398     0.050     14503     12841     14375
   7.29439   7.31384     0.050     14514     12855     14384
   7.29422   7.31371     0.050     14494     12836     14363
   7.29405   7.31357     0.050     14497     12837     14368
   7.29388   7.31344     0.050     14515     12855     14391
   7.29371   7.31330     0.050     14497     12843     14377
   7.29354   7.31317     0.050     14494     12843     14383
   7.29337   7.31303     0.050     14510     12858     14395
   7.29320   7.31289     0.050     14495     12849     14388
   7.29303   7.31275     0.050     14486     12839     14386
   7.29286   7.31261     0.050     14505     12854     14402
   7.29269   7.31246     0.050     14495     12849     14396
   7.29252   7.31231     0.050     14491     12846     14394
   7.29235   7.31216     0.050     14491     12849     14402
   7.29218   7.31202     0.050     14502     12858     14414
   7.29201   7.31187     0.050     14491     12853     14407
   7.29184   7.31173     0.050     14480     12841     14396
   7.29167   7.31158     0.050     14495     12858     14417
   7.29150   7.31144     0.050     14499     12862     14423
   7.29133   7.31129     0.050     14481     12846     14412
   7.29116   7.31114     0.050     14486     12852     14419
   7.29099   7.31098     0.050     14501     12864     14428
   7.29082   7.31082     0.050     14476     12849     14412
   7.29065   7.31064     0.050     14479     12850     14424
   7.29048   7.31047     0.050     14499     12871     14443
   7.29031   7.31028     0.050     14479     12852     14427
   7.29014   7.31009     0.050     14474     12852     14435
   7.28997   7.30989     0.050     14492     12865     14439
   7.28980   7.30969     0.050     14485     12861     14442
   7.28963   7.30949     0.050     14470     12850     14435
   7.28946   7.30930     0.050     14471     12856     14438
   7.28929   7.30912     0.050     14485     12867     14449
   7.28912   7.30894     0.050     14472     12857     14445
   7.28895   7.30877     0.050     14471     12855     14449
   7.28878   7.30859     0.050     14474     12862     14456
   7.28861   7.30841     0.050     14479     12869     14456
   7.28844   7.30823     0.050     14460     12853     14454
   7.28827   7.30806     0.050     14469     12863     14459
   7.28810   7.30787     0.050     14476     12870     14479
   7.28793   7.30769     0.050     14468     12864     14475
   7.28776   7.30751     0.050     14461     12858     14456
   7.28759   7.30732     0.050     14473     12873     14476
   7.28742   7.30713     0.050     14468     12866     14474
   7.28725   7.30694     0.050     14462     12865     14476
   7.28708   7.30676     0.050     14469     12871     14480
   7.28691   7.30659     0.050     14468     12874     14494
   7.28674   7.30642     0.050     14457     12863     14476
   7.28657   7.30625     0.050     14464     12876     14490
   7.28640   7.30608     0.050     14464     12875     14492
   7.28623   7.30592     0.050     14453     12866     14487
   7.28606   7.30576     0.050     14465     12880     14502
   7.28589   7.30560     0.050     14460     12874     14496
   7.28572   7.30543     0.050     14458     12874     14502
   7.28555   7.30526     0.050     14449     12870     14498
   7.28538   7.30509     0.050     14465     12883     14515
   7.28521   7.30493     0.050     14460     12880     14508
   7.28504   7.30476     0.050     14455     12880     14516
   7.28487   7.30460     0.050     14458     12882     14512
   7.28470   7.30444     0.050     14465     12890     14533
   7.28453   7.30428     0.050     14454     12885     14525
   7.28436   7.30413     0.050     14449     12880     14526
   7.28419   7.30399     0.050     14465     12895     14541
   7.28402   7.30384     0.050     14450     12884     14531
   7.28385   7.30371     0.050     14443     12880     14530
   7.28368   7.30357     0.050     14462     12896     14550
   7.28351   7.30344     0.050     14448     12887     14537
   7.28334   7.30330     0.050     14441     12883     14533
   7.28317   7.30317     0.050     14455     12898     14554
   7.28300   7.30303     0.050     14458     12903     14560
   7.28283   7.30289     0.050     14444     12894     14543
   7.28266   7.30275     0.050     14445     12895     14559
   7.28249   7.30261     0.050     14449     12897     14555
   7.28232   7.30246     0.050     14444     12896     14557
   7.28215   7.30232     0.050     14446     12899     14571
   7.28198   7.30218     0.050     14445     12899     14571
   7.28181   7.30203     0.050     14456     12912     14583
   7.28164   7.30188     0.050     14434     12891     14568
   7.28147   7.30174     0.050     14441     12903     14575
   7.28130   7.30160     0.050     14440     12905     14574
   7.28113   7.30145     0.050     14438     12901     14581
   7.28096   7.30131     0.050     14426     12895     14573
   7.28079   7.30115     0.050     14446     12911     14595
   7.28062   7.30100     0.050     14435     12904     14592
   7.28045   7.30083     0.050     14425     12898     14586
   7.28028   7.30066     0.050     14424     12900     14585
   7.28011   7.30049     0.050     14419     12896     14585
   7.27994   7.30030     0.050     14410     12888     14582
   7.27977   7.30011     0.050     14411     12890     14588
   7.27960   7.29991     0.050     14400     12885     14574
   7.27943   7.29972     0.050     14388     12873     14565
   7.27926   7.29953     0.050     14379     12868     14562
   7.27909   7.29934     0.050     14370     12863     14563
   7.27892   7.29916     0.050     14360     12856     14558
   7.27875   7.29898     0.050     14350     12848     14551
   7.27858   7.29881     0.050     14356     12855     14547
   7.27841   7.29863     0.050     14349     12852     14550
   7.27824   7.29845     0.050     14336     12839     14544
   7.27807   7.29828     0.050     14335     12841     14544
   7.27790   7.29811     0.050     14348     12856     14564
   7.27773   7.29792     0.050     14328     12836     14544
   7.27756   7.29774     0.050     14329     12842     14548
   7.27739   7.29755     0.050     14345     12859     14571
   7.27722   7.29737     0.050     14348     12859     14575
   7.27705   7.29718     0.050     14339     12856     14570
   7.27688   7.29699     0.050     14358     12876     14599
   7.27671   7.29682     0.050     14363     12884     14610
   7.27654   7.29664     0.050     14362     12882     14604
   7.27637   7.29647     0.050     14373     12893     14620
   7.27620   7.29630     0.050     14389     12908     14646
   7.27603   7.29614     0.050     14389     12913     14645
   7.27586   7.29597     0.050     14383     12907     14643
   7.27569   7.29581     0.050     14396     12923     14661
   7.27552   7.29564     0.050     14400     12924     14667
   7.27535   7.29548     0.050     14396     12925     14669
   7.27518   7.29532     0.050     14403     12932     14679
   7.27501   7.29515     0.050     14406     12938     14689
   7.27484   7.29498     0.050     14399     12931     14686
   7.27467   7.29482     0.050     14399     12934     14685
   7.27450   7.29465     0.050     14414     12948     14705
   7.27433   7.29449     0.050     14394     12935     14693
   7.27416   7.29433     0.050     14400     12939     14697
   7.27399   7.29418     0.050     14405     12948     14712
   7.27382   7.29403     0.050     14398     12942     14700
   7.27365   7.29389     0.050     14395     12940     14706
   7.27348   7.29375     0.050     14396     12943     14711
   7.27331   7.29362     0.050     14399     12946     14705
   7.27314   7.29349     0.050     14391     12942     14710
   7.27297   7.29335     0.050     14393     12944     14711
   7.27280   7.29322     0.050     14393     12946     14717
   7.27263   7.29308     0.050     14388     12947     14729
   7.27246   7.29294     0.050     14385     12947     14717
   7.27229   7.29281     0.050     14397     12955     14735
   7.27212   7.29266     0.050     14390     12952     14735
   7.27195   7.29252     0.050     14380     12945     14727
   7.27178   7.29237     0.050     14393     12958     14746
   7.27161   7.29222     0.050     14393     12959     14746
   7.27144   7.29207     0.050     14379     12949     14728
   7.27127   7.29193     0.050     14376     12944     14738
   7.27110   7.29179     0.050     14386     12960     14746
   7.27093   7.29165     0.050     14368     12944     14732
   7.27076   7.29151     0.050     14369     12947     14753
   7.27059   7.29136     0.050     14372     12948     14750
   7.27042   7.29121     0.050     14367     12948     14751
   7.27025   7.29105     0.050     14365     12947     14754
   7.27008   7.29090     0.050     14377     12956     14760
   7.26991   7.29073     0.050     14367     12953     14763
   7.26974   7.29055     0.050     14371     12958     14767
   7.26957   7.29037     0.050     14364     12950     14759
   7.26940   7.29018     0.050     14366     12956     14771
   7.26923   7.28999     0.050     14367     12960     14776
   7.26906   7.28980     0.050     14366     12960     14774
   7.26889   7.28960     0.050     14362     12953     14764
   7.26872   7.28941     0.050     14365     12963     14781
   7.26855   7.28923     0.050     14365     12967     14789
   7.26838   7.28904     0.050     14364     12964     14789
   7.26821   7.28886     0.050     14371     12968     14794
   7.26804   7.28868     0.050     14369     12971     14797
   7.26787   7.28851     0.050     14370     12973     14805
   7.26770   7.28834     0.050     14370     12973     14806
   7.26753   7.28816     0.050     14362     12970     14806
   7.26736   7.28798     0.050     14371     12979     14818
   7.26719   7.28779     0.050     14371     12981     14813
   7.26702   7.28761     0.050     14359     12972     14810
   7.26685   7.28743     0.050     14365     12976     14813
   7.26668   7.28724     0.050     14366     12983     14829
   7.26651   7.28705     0.050     14354     12972     14808
   7.26634   7.28687     0.050     14355     12977     14823
   7.26617   7.28669     0.050     14365     12984     14833
   7.26600   7.28652     0.050     14356     12978     14831
   7.26583   7.28635     0.050     14353     12976     14830
   7.26566   7.28619     0.050     14363     12989     14840
   7.26549   7.28602     0.050     14353     12983     14840
   7.26532   7.28586     0.050     14345     12977     14830
   7.26515   7.28569     0.050     14351     12983     14843
   7.26498   7.28552     0.050     14356     12989     14861
   7.26481   7.28536     0.050     14355     12989     14855
   7.26464   7.28519     0.050     14352     12987     14857
   7.26447   7.28502     0.050     14355     12993     14859
   7.26430   7.28486     0.050     14358     12996     14869
   7.26413   7.28469     0.050     14342     12983     14853
   7.26396   7.28453     0.050     14353     12996     14872
   7.26379   7.28437     0.050     14358     12997     14877
   7.26362   7.28421     0.050     14343     12989     14869
   7.26345   7.28407     0.050     14346     12993     14875
   7.26328   7.28393     0.050     14350     12998     14884
   7.26311   7.28379     0.050     14341     12991     14874
   7.26294   7.28365     0.050     14344     12997     14881
   7.26277   7.28351     0.050     14343     12999     14887
   7.26260   7.28338     0.050     14343     12997     14893
   7.26243   7.28324     0.050     14336     12992     14891
   7.26226   7.28310     0.050     14346     13006     14902
   7.26209   7.28297     0.050     14337     12997     14896
   7.26192   7.28283     0.050     14329     12992     14889
   7.26175   7.28268     0.050     14330     12994     14893
   7.26158   7.28254     0.050     14338     13003     14911
   7.26141   7.28239     0.050     14334     13005     14906
   7.26124   7.28225     0.050     14316     12986     14892
   7.26107   7.28210     0.050     14333     13003     14914
   7.26090   7.28195     0.050     14337     13009     14921
   7.26073   7.28181     0.050     14321     12996     14901
   7.26056   7.28166     0.050     14327     13005     14917
   7.26039   7.28152     0.050     14336     13014     14933
   7.26022   7.28138     0.050     14312     12991     14911
   7.26005   7.28123     0.050     14315     12998     14918
   7.25988   7.28107     0.050     14326     13013     14942
   7.25971   7.28091     0.050     14313     12999     14920
   7.25954   7.28074     0.050     14305     12995     14918
   7.25937   7.28057     0.050     14315     13005     14938
   7.25920   7.28038     0.050     14317     13008     14933
   7.25903   7.28019     0.050     14302     12998     14928
   7.25886   7.27999     0.050     14308     13003     14937
   7.25869   7.27980     0.050     14316     13013     14947
   7.25852   7.27961     0.050     14309     13010     14950
   7.25835   7.27942     0.050     14307     13005     14944
   7.25818   7.27923     0.050     14307     13010     14953
   7.25801   7.27905     0.050     14321     13021     14963
   7.25784   7.27888     0.050     14302     13011     14956
   7.25767   7.27870     0.050     14315     13022     14972
   7.25750   7.27853     0.050     14319     13028     14981
   7.25733   7.27835     0.050     14308     13017     14972
   7.25716   7.27818     0.050     14299     13013     14964
   7.25699   7.27800     0.050     14321     13035     14985
   7.25682   7.27781     0.050     14310     13022     14977
   7.25665   7.27763     0.050     14305     13024     14983
   7.25648   7.27745     0.050     14322     13041     15007
   7.25631   7.27726     0.050     14316     13038     14995
   7.25614   7.27707     0.050     14305     13028     15000
   7.25597   7.27689     0.050     14309     13035     15001
   7.25580   7.27671     0.050     14310     13037     15008
   7.25563   7.27653     0.050     14305     13035     15011
   7.25546   7.27636     0.050     14311     13041     15016
   7.25529   7.27620     0.050     14312     13042     15016
   7.25512   7.27603     0.050     14307     13042     15019
   7.25495   7.27587     0.050     14303     13034     15016
   7.25478   7.27570     0.050     14313     13047     15036
   7.25461   7.27554     0.050     14314     13052     15042
   7.25444   7.27537     0.050     14294     13036     15025
   7.25427   7.27521     0.050     14310     13052     15039
   7.25410   7.27504     0.050     14314     13058     15047
   7.25393   7.27487     0.050     14290     13038     15027
   7.25376   7.27471     0.050     14295     13044     15041
   7.25359   7.27455     0.050     14308     13057     15057
   7.25342   7.27439     0.050     14301     13053     15048
   7.25325   7.27424     0.050     14293     13044     15050
   7.25308   7.27409     0.050     14303     13054     15058
   7.25291   7.27394     0.050     14303     13058     15064
   7.25274   7.27380     0.050     14290     13048     15054
   7.25257   7.27366     0.050     14296     13056     15069
   7.25240   7.27353     0.050     14294     13055     15066
   7.25223   7.27340     0.050     14305     13067     15087
   7.25206   7.27327     0.050     14281     13047     15068
   7.25189   7.27313     0.050     14301     13064     15084
   7.25172   7.27299     0.050     14305     13071     15097
   7.25155   7.27286     0.050     14279     13052     15067
   7.25138   7.27272     0.050     14295     13066     15094
   7.25121   7.27257     0.050     14306     13076     15112
   7.25104   7.27242     0.050     14284     13061     15084
   7.25087   7.27228     0.050     14286     13063     15094
   7.25070   7.27214     0.050     14299     13076     15115
   7.25053   7.27199     0.050     14287     13067     15099
   7.25036   7.27185     0.050     14276     13058     15098
   7.25019   7.27170     0.050     14288     13073     15110
   7.25002   7.27156     0.050     14288     13073     15107
   7.24985   7.27142     0.050     14277     13067     15108
   7.24968   7.27127     0.050     14282     13070     15112
   7.24951   7.27112     0.050     14286     13075     15125
   7.24934   7.27096     0.050     14268     13063     15110
   7.24917   7.27080     0.050     14269     13066     15111
   7.24900   7.27062     0.050     14277     13074     15133
   7.24883   7.27044     0.050     14276     13072     15121
   7.24866   7.27025     0.050     14272     13073     15124
   7.24849   7.27006     0.050     14277     13079     15135
   7.24832   7.26986     0.050     14285     13091     15153
   7.24815   7.26967     0.050     14255     13063     15114
   7.24798   7.26948     0.050     14271     13074     15140
   7.24781   7.26929     0.050     14272     13079     15147
   7.24764   7.26911     0.050     14248     13062     15133
   7.24747   7.26893     0.050     14257     13069     15142
   7.24730   7.26876     0.050     14268     13083     15154
   7.24713   7.26859     0.050     14251     13069     15146
   7.24696   7.26842     0.050     14242     13062     15134
   7.24679   7.26825     0.050     14260     13081     15163
   7.24662   7.26807     0.050     14251     13075     15156
   7.24645   7.26788     0.050     14243     13066     15142
   7.24628   7.26770     0.050     14254     13081     15166
   7.24611   7.26751     0.050     14256     13085     15175
   7.24594   7.26732     0.050     14243     13073     15162
   7.24577   7.26713     0.050     14240     13072     15161
   7.24560   7.26695     0.050     14261     13092     15189
   7.24543   7.26677     0.050     14252     13089     15180
   7.24526   7.26660     0.050     14234     13076     15169
   7.24509   7.26642     0.050     14247     13087     15191
   7.24492   7.26626     0.050     14264     13103     15207
   7.24475   7.26609     0.050     14233     13079     15175
   7.24458   7.26593     0.050     14246     13091     15190
   7.24441   7.26577     0.050     14268     13114     15225
   7.24424   7.26560     0.050     14244     13092     15197
   7.24407   7.26544     0.050     14240     13089     15192
   7.24390   7.26527     0.050     14263     13112     15219
   7.24373   7.26510     0.050     14243     13097     15203
   7.24356   7.26494     0.050     14239     13095     15215
   7.24339   7.26477     0.050     14248     13104     15219
   7.24322   7.26461     0.050     14251     13108     15232
   7.24305   7.26445     0.050     14233     13095     15213
   7.24288   7.26429     0.050     14243     13106     15227
   7.24271   7.26414     0.050     14244     13109     15238
   7.24254   7.26399     0.050     14240     13107     15240
   7.24237   7.26385     0.050     14235     13106     15235
   7.24220   7.26371     0.050     14247     13116     15257
   7.24203   7.26358     0.050     14243     13116     15250
   7.24186   7.26344     0.050     14231     13107     15243
   7.24169   7.26331     0.050     14244     13120     15257
   7.24152   7.26318     0.050     14251     13131     15277
   7.24135   7.26304     0.050     14234     13114     15256
   7.24118   7.26290     0.050     14241     13122     15269
   7.24101   7.26277     0.050     14252     13130     15278
   7.24084   7.26262     0.050     14225     13110     15251
   7.24067   7.26247     0.050     14235     13119     15273
   7.24050   7.26233     0.050     14251     13136     15290
   7.24033   7.26219     0.050     14237     13127     15286
